sku,warehouse,warehouse,quantity,notes,reorder_point,last_counted
SKU-0000,sfo,sfo,unknown,,,2024-06-01
SKU-0001,sfo,sfo,377,,63.0,2024-06-02
SKU-0002,sfo,sfo,100,,57.4,2024-06-03
SKU-0003,dub,dub,76,,,2024-06-04
SKU-0004,sfo,sfo,103,,62.3,2024-06-05
SKU-0005,sfo,sfo,374,,55.0,2024-06-06
SKU-0006,sfo,sfo,308,,,2024-06-07
SKU-0007,sfo,sfo,unknown,,54.6,2024-06-08
SKU-0008,ams,ams,338,,52.9,2024-06-09
SKU-0009,dub,dub,257,,,2024-06-10
SKU-0010,ams,ams,146,,45.8,2024-06-11
SKU-0011,dub,dub,123,,47.0,2024-06-12
SKU-0012,ams,ams,292,,,2024-06-13
SKU-0013,sfo,sfo,277,,45.8,2024-06-14
SKU-0014,sfo,sfo,unknown,,41.6,2024-06-15
SKU-0015,ams,ams,97,,,2024-06-16
SKU-0016,sfo,sfo,197,,62.2,2024-06-17
SKU-0017,dub,dub,28,,58.5,2024-06-18
SKU-0018,dub,dub,242,,,2024-06-19
SKU-0019,dub,dub,223,,38.5,2024-06-20
SKU-0020,sfo,sfo,164,,46.7,2024-06-21
SKU-0021,ams,ams,unknown,,,2024-06-22
SKU-0022,ams,ams,346,,51.7,2024-06-23
SKU-0023,sfo,sfo,108,,40.7,2024-06-24
SKU-0024,dub,dub,224,,,2024-06-25
SKU-0025,dub,dub,165,,41.5,2024-06-26
SKU-0026,ams,ams,319,,50.7,2024-06-27
SKU-0027,dub,dub,45,,,2024-06-28
SKU-0028,dub,dub,unknown,,30.6,2024-06-29
SKU-0029,dub,dub,392,,46.0,2024-06-30
SKU-0030,dub,dub,367,,,2024-07-01
SKU-0031,sfo,sfo,72,,48.5,2024-07-02
SKU-0032,dub,dub,91,,52.1,2024-07-03
SKU-0033,ams,ams,33,,,2024-07-04
SKU-0034,ams,ams,282,,33.0,2024-07-05
SKU-0035,ams,ams,unknown,,51.3,2024-07-06
SKU-0036,ams,ams,134,,,2024-07-07
SKU-0037,ams,ams,58,,43.4,2024-07-08
SKU-0038,ams,ams,68,,31.9,2024-07-09
SKU-0039,dub,dub,122,,,2024-07-10
SKU-0040,dub,dub,398,,57.7,2024-07-11
SKU-0041,ams,ams,201,,38.8,2024-07-12
SKU-0042,ams,ams,unknown,,,2024-07-13
SKU-0043,sfo,sfo,210,,29.7,2024-07-14
SKU-0044,dub,dub,243,,55.7,2024-07-15
SKU-0045,ams,ams,204,,,2024-07-16
SKU-0046,ams,ams,4,,73.9,2024-07-17
SKU-0047,ams,ams,262,,44.0,2024-07-18
SKU-0048,sfo,sfo,264,,,2024-07-19
SKU-0049,dub,dub,unknown,,57.5,2024-07-20
SKU-0050,dub,dub,248,,43.5,2024-07-21
SKU-0051,ams,ams,273,,,2024-07-22
SKU-0052,ams,ams,363,,42.4,2024-07-23
SKU-0053,dub,dub,50,,52.9,2024-07-24
SKU-0054,dub,dub,356,,,2024-07-25
SKU-0055,dub,dub,58,,55.2,2024-07-26
SKU-0056,dub,dub,unknown,,52.1,2024-07-27
SKU-0057,sfo,sfo,285,,,2024-07-28
SKU-0058,dub,dub,36,,44.6,2024-07-29
SKU-0059,ams,ams,79,,39.2,2024-07-30
