quarter,region,revenue_usd,units
2023-Q1,North,249248.56,2674
2023-Q2,North,279866.53,3581
2023-Q3,North,279928.19,3313
2023-Q4,North,264776.03,3027
2024-Q1,North,280001.14,3232
2024-Q2,North,279480.98,3035
2024-Q3,North,312031.87,3860
2024-Q4,North,314235.87,3828
2023-Q1,South,202053.97,2301
2023-Q2,South,216447.06,2569
2023-Q3,South,250334.57,3241
2023-Q4,South,247590.28,3009
2024-Q1,South,244027.69,2863
2024-Q2,South,254767.98,2720
2024-Q3,South,253046.49,3027
2024-Q4,South,288848.67,3229
2023-Q1,East,179590.59,2055
2023-Q2,East,174455.55,2053
2023-Q3,East,188558.92,2245
2023-Q4,East,195269.58,2400
2024-Q1,East,206382.99,2232
2024-Q2,East,226128.94,2710
2024-Q3,East,219877.89,2551
2024-Q4,East,237370.53,2524
2023-Q1,West,152243.98,1671
2023-Q2,West,153783.95,1823
2023-Q3,West,168969.35,2033
2023-Q4,West,173628.97,2052
2024-Q1,West,183314.04,2224
2024-Q2,West,195309.09,2162
2024-Q3,West,194600.3,2186
2024-Q4,West,210799.64,2721
2023-Q1,Nordics,35100.74,400
2023-Q2,Nordics,40660.04,512
2023-Q3,Nordics,40313.47,451
2023-Q4,Nordics,39622.83,485
2024-Q1,Nordics,40756.45,457
2024-Q2,Nordics,43789.25,543
2024-Q3,Nordics,43581.21,507
2024-Q4,Nordics,48694.78,618
2023-Q1,Iberia,27242.08,293
2023-Q2,Iberia,28062.46,314
2023-Q3,Iberia,32270.33,415
2023-Q4,Iberia,27756.27,316
2024-Q1,Iberia,29323.43,373
2024-Q2,Iberia,37467.46,417
2024-Q3,Iberia,35817.31,431
2024-Q4,Iberia,39388.46,519
2023-Q1,Benelux,17491.93,177
2023-Q2,Benelux,17273.75,221
2023-Q3,Benelux,20260.25,276
2023-Q4,Benelux,22084.79,275
2024-Q1,Benelux,22867.4,272
2024-Q2,Benelux,22917.83,273
2024-Q3,Benelux,23706.81,289
2024-Q4,Benelux,24409.61,283
2023-Q1,Baltics,7552.17,84
2023-Q2,Baltics,7842.87,77
2023-Q3,Baltics,7830.77,88
2023-Q4,Baltics,8181.62,110
2024-Q1,Baltics,8761.01,104
2024-Q2,Baltics,8583.0,102
2024-Q3,Baltics,9300.64,110
2024-Q4,Baltics,9817.52,98
