month,mrr_usd,customers,churn_rate
2022-01-01,42361.17,131,0.0274
2022-02-01,43919.37,142,0.0269
2022-03-01,43509.0,142,0.032
2022-04-01,45765.34,146,0.0327
2022-05-01,47116.14,142,0.0293
2022-06-01,49411.77,169,0.033
2022-07-01,50921.23,165,0.0315
2022-08-01,52592.95,168,0.0311
2022-09-01,53419.36,175,0.036
2022-10-01,54973.72,180,0.0277
2022-11-01,57287.31,180,0.0306
2022-12-01,58548.51,189,0.0298
2023-01-01,60085.56,182,0.0303
2023-02-01,62782.13,191,0.0405
2023-03-01,63854.44,213,0.0281
2023-04-01,65083.74,219,0.028
2023-05-01,67144.44,215,0.0275
2023-06-01,70992.02,229,0.0285
2023-07-01,68384.15,226,0.0574
2023-08-01,65975.05,210,0.0642
2023-09-01,70838.3,231,0.0494
2023-10-01,81972.52,277,0.0296
2023-11-01,82314.99,266,0.0313
2023-12-01,86668.36,274,0.0303
2024-01-01,88651.44,290,0.0308
2024-02-01,91183.62,291,0.0282
2024-03-01,92759.48,300,0.0325
2024-04-01,97119.86,313,0.0264
2024-05-01,98610.92,303,0.0325
2024-06-01,100693.05,310,0.0344
2024-07-01,104986.96,338,0.0275
2024-08-01,108153.35,353,0.0304
2024-09-01,111166.79,354,0.0362
2024-10-01,116497.2,386,0.03
2024-11-01,114837.08,373,0.0303
2024-12-01,120512.17,394,0.0293
