date,tickets,channel,first_response_mins
2023-01-01,51,email,17.8
2023-01-02,126,chat,8.9
2023-01-03,128,email,11.7
2023-01-04,112,chat,10.8
2023-01-05,140,email,31.2
2023-01-06,116,email,22.7
2023-01-07,50,email,5.7
2023-01-08,50,chat,18.2
2023-01-09,124,phone,28.4
2023-01-10,111,phone,44.1
2023-01-11,111,email,61.2
2023-01-12,131,email,30.4
2023-01-13,116,chat,36.9
2023-01-14,54,email,14.8
2023-01-15,59,email,66.6
2023-01-16,122,email,41.6
2023-01-17,114,phone,12.3
2023-01-18,91,email,40.9
2023-01-19,131,email,39.2
2023-01-20,110,chat,54.2
2023-01-21,55,email,47.0
2023-01-22,60,email,20.1
2023-01-23,109,phone,30.2
2023-01-24,111,chat,21.5
2023-01-25,105,phone,26.7
2023-01-26,117,email,24.6
2023-01-27,103,chat,85.5
2023-01-28,50,chat,16.4
2023-01-29,46,chat,3.7
2023-01-30,127,chat,2.5
2023-01-31,139,chat,68.0
2023-02-01,121,chat,5.8
2023-02-02,112,email,10.7
2023-02-03,118,chat,9.8
2023-02-04,62,chat,31.2
2023-02-05,51,chat,13.0
2023-02-06,140,phone,63.9
2023-02-07,121,email,17.2
2023-02-08,126,email,95.0
2023-02-09,105,phone,34.7
2023-02-10,116,phone,65.3
2023-02-11,60,email,36.0
2023-02-12,52,chat,28.1
2023-02-13,97,chat,17.4
2023-02-14,129,chat,42.4
2023-02-15,134,email,23.9
2023-02-16,126,email,9.9
2023-02-17,127,email,21.7
2023-02-18,60,phone,23.1
2023-02-19,55,chat,39.4
2023-02-20,119,chat,27.2
2023-02-21,110,chat,99.2
2023-02-22,122,email,21.9
2023-02-23,116,email,37.6
2023-02-24,111,chat,84.1
2023-02-25,54,chat,9.3
2023-02-26,63,email,7.9
2023-02-27,123,email,38.5
2023-02-28,124,phone,22.7
2023-03-01,120,chat,70.2
2023-03-02,125,email,42.2
2023-03-03,129,chat,29.7
2023-03-04,54,email,83.0
2023-03-05,58,chat,40.4
2023-03-06,103,email,43.7
2023-03-07,131,email,31.8
2023-03-08,129,chat,49.1
2023-03-09,130,phone,94.6
2023-03-10,116,email,90.5
2023-03-11,52,chat,17.8
2023-03-12,54,email,20.4
2023-03-13,132,phone,44.5
2023-03-14,114,email,61.1
2023-03-15,240,chat,36.7
2023-03-16,95,email,9.1
2023-03-17,108,chat,12.6
2023-03-18,57,email,54.4
2023-03-19,63,chat,22.5
2023-03-20,131,email,29.8
2023-03-21,114,email,9.8
2023-03-22,106,chat,43.5
2023-03-23,126,chat,25.5
2023-03-24,104,chat,11.7
2023-03-25,49,phone,23.0
2023-03-26,49,phone,8.1
2023-03-27,102,email,17.4
2023-03-28,121,phone,9.1
